"Branch","Upstream","Track","CommitterDate","Subject"
"action-center-decision-history","origin/action-center-decision-history","","2026-04-29","feat: add action center decision-first detail view"
"action-center-decision-history-port","origin/action-center-decision-history-port","","2026-04-29","test: align decision history port fixtures"
"archive-home-insight-demo-pre-removal","","","2026-05-01","Add homepage management flow section"
"backup/action-center-route-action-cards-docs","","","2026-04-30","docs: add action center route action cards plan"
"backup/repo-audit-2026-05-15","","","2026-05-10","Refine dashboard filters and add local QA login"
"chore/site-analytics","origin/chore/site-analytics","","2026-05-05","Add GA4 and Search Console verification hooks"
"codex-temp-hero-live","origin/main","[ahead 1, behind 121]","2026-05-01","Add homepage problem section beneath hero"
"codex/action-center-adapter-readiness","","","2026-04-25","Implement full homepage redesign (De Rapporteur)"
"codex/action-center-adapter-wave","origin/codex/action-center-adapter-wave","","2026-04-25","remove exit from future action center adapters"
"codex/action-center-canon-update","origin/codex/action-center-canon-update","","2026-04-26","docs: remove action center canon trailing whitespace"
"codex/action-center-commercial-merge","origin/main","[behind 100]","2026-05-02","Merge branch 'codex/action-center-route-summary'"
"codex/action-center-commercial-roadmap","origin/codex/action-center-commercial-roadmap","[ahead 16]","2026-05-03","Refine ExitScan dashboard proof layers"
"codex/action-center-follow-up-route-trigger","origin/codex/action-center-follow-up-route-trigger","","2026-05-02","feat: add lineage summaries for follow-up routes"
"codex/action-center-governance-rights","origin/codex/action-center-governance-rights","","2026-05-02","feat: harden action center governance roles"
"codex/action-center-limited-manager-interaction","origin/codex/action-center-limited-manager-interaction","","2026-04-30","fix: harden manager response route integrity"
"codex/action-center-live-truth-pass","origin/codex/action-center-live-truth-pass","","2026-04-25","Restore MTO design-only action center truth"
"codex/action-center-live-wiring-slice","origin/codex/action-center-live-wiring-slice","","2026-04-26","Merge remote-tracking branch 'origin/main' into codex/action-center-live-wiring-slice"
"codex/action-center-manager-action-hardening","origin/codex/action-center-manager-action-hardening","","2026-05-02","feat: harden manager action semantics"
"codex/action-center-mto-audit","","","2026-04-20","Homepage: stacked hero, brede dashboard-visual, kopergerichte labels"
"codex/action-center-mto-carrier","origin/codex/action-center-mto-carrier","","2026-04-25","Fix teamscan learning route constraint"
"codex/action-center-ops-inregeling","","","2026-04-25","Document Action Center ops phase closeout"
"codex/action-center-ops-pilot","origin/codex/action-center-ops-pilot","","2026-04-25","Add action center ops pilot observation"
"codex/action-center-pilot-go-no-go-review","origin/codex/action-center-pilot-go-no-go-review","","2026-05-02","docs: add action center pilot go no-go review"
"codex/action-center-pilot-operationalisering","origin/codex/action-center-pilot-operationalisering","","2026-05-02","feat: add action center pilot operationalization layer"
"codex/action-center-pilot-readiness-hardening","origin/codex/action-center-pilot-readiness-hardening","","2026-05-02","fix: harden action center pilot readiness flows"
"codex/action-center-preview-adoption","origin/codex/action-center-preview-adoption","","2026-04-26","Adopt action center preview shell"
"codex/action-center-proposition-contract","origin/codex/action-center-proposition-contract","[ahead 4]","2026-04-28","feat: expose action center candidate and active states in hr surfaces"
"codex/action-center-reliable-ops","origin/codex/action-center-reliable-ops","","2026-05-02","feat: add action center pilot ops health"
"codex/action-center-reporting-readback","origin/main","[behind 95]","2026-05-02","feat: add action center readback summary"
"codex/action-center-review-result-loop","origin/codex/action-center-review-result-loop","","2026-04-29","feat: add authored decision admin surface"
"codex/action-center-richer-review-decisions","origin/codex/action-center-richer-review-decisions","","2026-04-29","feat: deepen action center result progression"
"codex/action-center-route-action-cards","origin/codex/action-center-route-action-cards","","2026-04-30","feat: add action cards to action center routes"
"codex/action-center-route-closeout","origin/codex/action-center-route-closeout","","2026-05-01","feat: add action center route closeout flow"
"codex/action-center-route-reopen","origin/codex/action-center-route-reopen","","2026-05-01","fix: harden action center follow-up access"
"codex/action-center-route-summary","origin/codex/action-center-route-summary","","2026-05-02","feat: add action center route summary layer"
"codex/action-center-scan-route-inbedding","origin/codex/action-center-scan-route-inbedding","","2026-05-02","feat: strengthen scan to action center handoff"
"codex/action-center-second-live-consumer","origin/codex/action-center-second-live-consumer","","2026-04-25","Fix ExitScan action center review truth"
"codex/action-center-shared-core","origin/codex/action-center-shared-core","","2026-04-25","add action center shared core contracts"
"codex/action-center-shared-core-plan","","","2026-04-20","Homepage: stacked hero, brede dashboard-visual, kopergerichte labels"
"codex/action-center-site-copy","origin/codex/action-center-site-copy","","2026-04-26","bound action center site copy"
"codex/action-center-strategy-alignment","origin/codex/action-center-strategy-alignment","","2026-04-26","Keep action center out of buyer-facing copy"
"codex/action-center-ux-volwassenheid","origin/codex/action-center-ux-volwassenheid","","2026-05-02","feat: mature action center route states"
"codex/as-landing-temp","origin/main","[behind 217]","2026-04-26","Merge branch 'codex/assisted-saas-closeout-track' into main"
"codex/assisted-saas-closeout-track","origin/codex/assisted-saas-closeout-track","","2026-04-26","close out the assisted saas program"
"codex/baseline-first-commercial-implementation","origin/main","[behind 49]","2026-05-06","Normalize baseline-first marketing routes"
"codex/billing-self-serve-model","origin/codex/billing-self-serve-model","","2026-04-27","feat: surface billing readiness in beheer and marketing"
"codex/billing-telemetry-proof-landing","origin/main","[behind 206]","2026-04-27","feat: add broader live proof and pilot layer"
"codex/broader-live-proof-and-pilot-layer","origin/codex/broader-live-proof-and-pilot-layer","","2026-04-27","feat: add broader live proof and pilot layer"
"codex/commercial-message-architecture","origin/codex/commercial-message-architecture","","2026-04-26","define action center message architecture"
"codex/commercial-operating-model","origin/codex/commercial-operating-model","","2026-04-22","Add commercial operating model decision note"
"codex/commercial-operating-model-implementation","origin/codex/commercial-operating-model-implementation","","2026-04-22","land commercial operating model guardrails"
"codex/commercial-todo-wave","origin/codex/commercial-todo-wave","","2026-04-28","fix: restrict formal report affordances"
"codex/commercial-track-closeout","origin/codex/commercial-track-closeout","","2026-04-26","close out action center commercial track"
"codex/contact-email-live-fix","","","2026-05-06","Send contact fallback notifications from Vercel"
"codex/contact-schema-fix","","","2026-05-05","Repair legacy contact request schema on startup"
"codex/contact-schema-release","","","2026-05-05","Keep contact request ids string-based on Postgres"
"codex/contact-success-label-live","","","2026-05-06","Simplify contact form success state"
"codex/copy-alignment-suite-truth","origin/codex/copy-alignment-suite-truth","","2026-04-26","align commercial copy with suite truth"
"codex/ct2-landing-temp","origin/main","[behind 231]","2026-04-26","merge CT-2 homepage and navigation repositioning"
"codex/ct3-landing-temp","origin/main","[behind 229]","2026-04-26","merge CT-3 commercial suite truth alignment"
"codex/ct4-landing-temp","origin/main","[behind 227]","2026-04-26","merge CT-4 suite demo sales flow"
"codex/ct5-landing-temp","origin/main","[behind 225]","2026-04-26","Merge branch 'codex/proof-claims-pilot-alignment' into main"
"codex/ct6-landing-temp","origin/main","[behind 223]","2026-04-26","Merge branch 'codex/commercial-track-closeout' into main"
"codex/cta-demo-salesflow-sharpening","origin/codex/cta-demo-salesflow-sharpening","","2026-04-26","sharpen suite demo sales flow"
"codex/customer-expansion-suggester","origin/codex/customer-expansion-suggester","","2026-04-21","Add interim default validation note"
"codex/customer-feedback-track-foundation","","","2026-04-18","docs: close out customer feedback internal track"
"codex/customer-launch-control","origin/codex/customer-launch-control","","2026-04-23","Fix guided self-serve acceptance backend port"
"codex/customer-operation-validation","origin/codex/customer-operation-validation","","2026-04-25","docs: harden customer owner activation guidance"
"codex/customer-ops-hardening-pass","origin/codex/customer-ops-hardening-pass","","2026-04-25","fix: harden customer owner activation and no-access campaign flow"
"codex/customer-ops-observation-round","origin/codex/customer-ops-observation-round","","2026-04-25","docs: close out customer ops observation round"
"codex/dashboard-admin-alignment","origin/codex/dashboard-admin-alignment","","2026-04-24","Tighten dashboard color semantics"
"codex/dashboard-admin-setup-page","origin/codex/dashboard-admin-setup-page","","2026-05-04","feat: rebuild admin setup beheer page"
"codex/dashboard-guided-execution-main-landing-final","origin/main","[behind 296]","2026-04-24","promote dashboard guided execution slice to main"
"codex/dashboard-guided-execution-main-promotion","origin/codex/dashboard-guided-execution-main-promotion","[ahead 1, behind 5]","2026-04-24","promote dashboard guided execution slice to main"
"codex/dashboard-guided-execution-main-promotion-review","","","2026-04-24","promote dashboard guided execution slice to main"
"codex/dashboard-loep-branding","origin/main","[ahead 1, behind 10]","2026-05-13","Rebrand visible dashboard UI to Loep"
"codex/dashboard-loep-branding-release","origin/main","[behind 9]","2026-05-13","Rebrand visible dashboard UI to Loep"
"codex/dashboard-module-visual-mapping","origin/codex/dashboard-module-visual-mapping","","2026-04-23","Refine dashboard module visual hierarchy"
"codex/dashboard-overview-and-navigation-correction-pass","origin/codex/dashboard-overview-and-navigation-correction-pass","","2026-04-24","dashboard overview and navigation correction pass"
"codex/dashboard-overview-and-navigation-review","origin/codex/dashboard-overview-and-navigation-correction-pass","","2026-04-24","dashboard overview and navigation correction pass"
"codex/dashboard-preview-adoption","origin/codex/dashboard-preview-adoption","","2026-04-26","feat: adopt dashboard preview"
"codex/dashboard-product-pure-analytics","origin/codex/dashboard-product-pure-analytics","","2026-05-04","feat: rebuild product dashboard as pure analytics"
"codex/dashboard-redesign-management-flow","origin/codex/dashboard-redesign-management-flow","","2026-04-20","Polish dashboard campaign launcher language"
"codex/dashboard-shell-and-presentation-system","origin/codex/dashboard-shell-and-presentation-system","","2026-04-23","Refine dashboard shell presentation system"
"codex/dashboard-state-aware-composition-pass","origin/codex/dashboard-state-aware-composition-pass","","2026-04-23","Compose dashboard states by execution readiness"
"codex/dashboard-suite-landing-decision","origin/codex/dashboard-suite-landing-decision","","2026-04-24","Document suite landing decision for execution and dashboard UI"
"codex/dashboard-ui-review","origin/codex/dashboard-ui-review","","2026-04-24","Tighten dashboard review language"
"codex/deeper-telemetry-and-health-evidence","origin/codex/deeper-telemetry-and-health-evidence","","2026-04-27","feat: add bounded telemetry and health evidence"
"codex/delivery-maturity","origin/codex/delivery-maturity","","2026-04-22","add delivery maturity review"
"codex/delivery-maturity-implementation","origin/codex/delivery-maturity-implementation","","2026-04-23","feat: harden delivery operating discipline"
"codex/evidence-proof-readiness","origin/codex/evidence-proof-readiness","","2026-04-22","add evidence proof readiness architecture"
"codex/execution-dashboard-integration","origin/codex/execution-dashboard-integration","","2026-04-24","Stabilize execution dashboard integration verification"
"codex/execution-dashboard-integration-review","origin/codex/execution-dashboard-integration-review","","2026-04-24","Stabilize execution dashboard integration verification"
"codex/exitscan-live-push","origin/main","[behind 83]","2026-05-02","Refine ExitScan dashboard read layer"
"codex/exitscan-proof-live","","","2026-05-03","Refine ExitScan dashboard proof layers"
"codex/exitscan-to-5","origin/codex/exitscan-to-5","","2026-04-22","docs: add exitscan 5 closeout"
"codex/favicon-logo-mark-pass","origin/main","[behind 3]","2026-05-14","Use transparent logo mark as app icon"
"codex/favicon-monogram-pass","origin/main","[behind 4]","2026-05-14","Use transparent monogram as app icon"
"codex/favicon-svg-pass","origin/main","[behind 5]","2026-05-14","Use Loep SVG as app icon"
"codex/first-next-step-guided-expansion","origin/codex/first-next-step-guided-expansion","","2026-04-23","add bounded first-next-step guidance"
"codex/frontend-redesign","origin/codex/frontend-redesign","","2026-04-19","fix vercel build scripts for production deploy"
"codex/hero-motion-preview","origin/codex/hero-motion-preview","","2026-04-23","feat: refresh marketing site and contact flow"
"codex/homepage-backup-2026-04-22","","","2026-04-22","tighten homepage commercial flow"
"codex/homepage-commercial-correction","origin/codex/homepage-commercial-correction","","2026-04-19","rewrite homepage sales copy"
"codex/homepage-hero-actioncenter-preview","origin/codex/homepage-hero-actioncenter-preview","","2026-05-03","Sharpen homepage hero layer contrast"
"codex/homepage-insight-action-demo","","","2026-04-30","Demo: gelijk kader alle 4 states + scroll-reveal sectie"
"codex/homepage-navigation-repositioning","origin/codex/homepage-navigation-repositioning","","2026-04-26","reposition homepage around the suite promise"
"codex/homepage-offwhite-onboarding","","","2026-04-23","feat: refresh marketing site and contact flow"
"codex/homepage-optional-action-center-preview","origin/codex/homepage-optional-action-center-preview","","2026-05-08","Add optional Action Center card to homepage baseline section"
"codex/homepage-visual-refinement-pass","","","2026-05-02","Tighten bounded product routes"
"codex/insight-to-action-generator","origin/codex/insight-to-action-generator","","2026-04-19","feat: harden insight-to-action generator"
"codex/insights-seo-structure","origin/codex/insights-seo-structure","","2026-04-24","Refine insights pages for lead qualification"
"codex/kennismaking-live-fix","origin/main","[behind 44]","2026-05-06","Fix Supabase fallback insert for contact form"
"codex/launch-communications-reminders","origin/codex/launch-communications-reminders","","2026-04-23","Harden launch communications and reminder controls"
"codex/leadership-shell-correction","origin/codex/suite-hardening-parity-normalization","[behind 31]","2026-04-22","docs: align onboarding signoff with bounded preview and executive rails"
"codex/leadership-to-5","origin/codex/leadership-to-5","","2026-04-22","docs: add leadership 5 governance signoff"
"codex/lh-hardening-run","origin/codex/lh-hardening-run","","2026-04-26","harden manager assignments for multi-org action center scopes"
"codex/live-copy-commercial-pass","","","2026-05-06","Sharpen commercial copy on live marketing pages"
"codex/live-copy-commercial-release","origin/main","[behind 47]","2026-05-06","Sharpen commercial copy on live marketing pages"
"codex/live-dashboard-suite-pass","origin/main","[behind 16]","2026-05-10","feat: apply editorial insights ui system"
"codex/live-dashboard-suite-pass-main-20260510","origin/main","[behind 15]","2026-05-10","Polish dashboard, action center and admin suite hierarchy"
"codex/live-hero-promote","origin/main","[behind 71]","2026-05-03","Sharpen homepage hero layer contrast"
"codex/live-marketing-fix-promote","origin/main","[behind 69]","2026-05-03","Remove assisted billing banner from pricing page"
"codex/live-route-tasklist-main-20260511","origin/main","[behind 14]","2026-05-11","Turn route blockers into clickable tasklist"
"codex/live-suite-landing","origin/main","[behind 240]","2026-04-26","merge live action center suite shell slice"
"codex/live-suite-rollout","origin/codex/live-suite-rollout","","2026-04-26","add live action center module to suite shell"
"codex/loep-rebrand-live","","","2026-05-12","Rebrand layout and global tokens to Loep"
"codex/loep-visual-rebrand","origin/main","[behind 11]","2026-05-13","Apply visible Loep rebrand across public site"
"codex/loveable-homepage-clone","origin/codex/loveable-homepage-clone","","2026-04-22","Finalize homepage, pricing, and approach snapshot"
"codex/main-environment-closeout","origin/codex/main-environment-closeout","","2026-04-24","close out main environment notes"
"codex/main-marketing-sync","origin/main","[behind 72]","2026-05-03","Unify public page surfaces and CTA labels"
"codex/main-readiness-review","origin/codex/main-readiness-review","","2026-04-23","docs: add main readiness recheck after suite finalization"
"codex/main-reconciliation","origin/codex/main-reconciliation","","2026-04-22","merge: reconcile suite canon into main with production fixes"
"codex/main-reconciliation-implementation","origin/codex/main-reconciliation-implementation","","2026-04-22","Reconcile main routing and build fixes"
"codex/marketing-canon-preview-implementation","origin/codex/marketing-canon-preview-implementation","","2026-04-26","feat: align marketing canon with action center track"
"codex/marketing-copy-commercial-pass","origin/codex/marketing-copy-commercial-pass","","2026-05-06","Sharpen commercial copy on key marketing pages"
"codex/marketing-live-fix-preview","origin/main","[ahead 4, behind 71]","2026-05-04","Refine pricing page commercial copy"
"codex/marketing-visual-system-preview","origin/main","[ahead 2, behind 55]","2026-05-05","Ignore local frontend artifacts for preview deploy"
"codex/marketing-visual-system-release","origin/main","[behind 53]","2026-05-05","Ignore local frontend artifacts for preview deploy"
"codex/merge-pr78-main","origin/main","[behind 150]","2026-04-29","Merge PR #78: action center decision history on current main"
"codex/merge-pr87-main","origin/main","[behind 123]","2026-05-01","Merge pull request #87 from larshengel08-lang/codex/action-center-follow-up-route-trigger"
"codex/motion-graphic-split","origin/codex/motion-graphic-split","","2026-04-28","Split homepage motion into clearer phases"
"codex/motion-reveal-debug","","","2026-05-08","Restore marketing scroll reveals"
"codex/mto-track-foundation","origin/codex/mto-track-foundation","","2026-04-20","WIP action center preview foundation"
"codex/noncore-final-sweep","origin/codex/noncore-final-sweep","","2026-04-22","feat: integrate non-core final sweep and pulse pdf"
"codex/noncore-report-normalization","origin/codex/noncore-report-normalization","","2026-04-22","docs: add non-core report normalization analysis"
"codex/onboarding-route-readiness","","","2026-04-20","Homepage: stacked hero, brede dashboard-visual, kopergerichte labels"
"codex/onboarding-shell-correction","","","2026-04-21","Clarify invite ownership and client responsibility in dashboard admin flow"
"codex/onboarding-to-5","origin/codex/onboarding-to-5","","2026-04-22","docs: finalize onboarding 5 acceptance canon"
"codex/owner-activation-hardening","origin/codex/owner-activation-hardening","","2026-04-25","Clarify unavailable campaign route states"
"codex/participant-data-import-safety","origin/codex/participant-data-import-safety","","2026-04-23","Harden participant data import safety"
"codex/permissions-audit-customer-safety","origin/codex/permissions-audit-customer-safety","","2026-04-23","harden customer execution permissions and audit trail"
"codex/post-pr25-suite-preview-check","origin/codex/suite-hardening-parity-normalization","[behind 1]","2026-04-24","Merge PR #25: dashboard overview and navigation correction pass"
"codex/pr28-pr29-main-landing","","","2026-04-25","public/commercial readiness slice"
"codex/product-detail-canvas-match","","","2026-05-09","Refresh product detail card treatment"
"codex/product-language-parity","origin/codex/product-language-parity","","2026-04-26","align dashboard report and action center language"
"codex/product-pages-commercial-handoff","","","2026-05-02","Tighten product pages to commercial handoff v2"
"codex/products-followon-pass","origin/main","[behind 12]","2026-05-12","Simplify products follow-on section"
"codex/products-live-hotfix","origin/main","[ahead 5, behind 83]","2026-05-03","Unify public page surfaces and CTA labels"
"codex/proof-claims-pilot-alignment","origin/codex/proof-claims-pilot-alignment","","2026-04-26","strengthen public proof for bounded manager follow-through"
"codex/public-commercial-main-readiness","origin/codex/public-commercial-main-readiness","","2026-04-24","public/commercial readiness slice"
"codex/pulse-pdf-open","","","2026-04-21","Clarify invite ownership and client responsibility in dashboard admin flow"
"codex/pulse-shell-correction","","","2026-04-21","Clarify invite ownership and client responsibility in dashboard admin flow"
"codex/pulse-to-5","origin/codex/pulse-to-5","","2026-04-22","docs: add pulse 5 closeout"
"codex/px-language-landing-temp","origin/main","[behind 242]","2026-04-26","fix: restore pulse hercheckmoment marketing contract"
"codex/px-preview-landing","origin/main","[behind 251]","2026-04-26","test: realign dashboard preview guardrails"
"codex/real-usage-proof-wave","origin/codex/real-usage-proof-wave","","2026-04-27","add real usage and proof wave"
"codex/report-layer-strengthening","origin/codex/report-layer-strengthening","","2026-04-26","feat: strengthen report layer surface"
"codex/response-ops-dashboard-activation","origin/codex/response-ops-dashboard-activation","","2026-04-23","harden response ops dashboard activation"
"codex/retentiescan-to-5","origin/codex/retentiescan-to-5","","2026-04-22","docs: add retentiescan 5 gate review"
"codex/routebeheer-hub","origin/codex/routebeheer-hub","","2026-05-04","feat: add bounded routebeheer hub"
"codex/ru-db-provisioning","origin/codex/ru-db-provisioning","","2026-04-27","provision real usage registry tables"
"codex/saas-operations-track","origin/codex/saas-operations-track","","2026-04-26","define the assisted saas operations model"
"codex/saas-readiness-foundation","origin/codex/saas-readiness-foundation","","2026-04-25","Tighten delivery schema truth parity"
"codex/sg-landing-temp","origin/main","[behind 219]","2026-04-26","Merge branch 'codex/suite-governance-track' into main"
"codex/so-landing-temp","origin/main","[behind 221]","2026-04-26","Merge branch 'codex/saas-operations-track' into main"
"codex/sqlite-demo-seed-harmonization","origin/codex/sqlite-demo-seed-harmonization","","2026-04-23","harmonize sqlite guided demo seed parity"
"codex/strategy-pricing-alignment","origin/codex/strategy-pricing-alignment","","2026-04-24","align strategy and pricing truth"
"codex/suite-governance-track","origin/codex/suite-governance-track","","2026-04-26","define suite governance for the people suite"
"codex/suite-hardening-parity-normalization","origin/codex/suite-hardening-parity-normalization","","2026-04-25","Add 'People ? Patterns ? Priorities' tagline below logo in nav and footer"
"codex/suite-preview-verification","origin/codex/suite-hardening-parity-normalization","[behind 3]","2026-04-24","[codex] Close out suite sanity-check blocker"
"codex/suite-sanity-check","origin/codex/suite-sanity-check","","2026-04-24","test: realign pulse shell guardrails"
"codex/suite-to-main-promotion-decision","","","2026-04-24","Merge PR #25: dashboard overview and navigation correction pass"
"codex/suite-to-main-promotion-slice-review","origin/codex/suite-to-main-promotion-slice-review","","2026-04-23","docs: define first suite-to-main promotion slice"
"codex/tarieven-helperline-live","origin/main","[behind 10]","2026-05-13","Update tarieven helper line copy"
"codex/teamscan-route-readiness","","","2026-04-21","Clarify invite ownership and client responsibility in dashboard admin flow"
"codex/testrevisie-copy-implementation","origin/main","[ahead 1, behind 39]","2026-05-08","Apply spreadsheet marketing copy revisions"
"codex/tmp-doc-landings-20260426","origin/main","[behind 261]","2026-04-26","Merge issue 30 commercial doc cleanup into main"
"codex/ux-site-refinement-wave","origin/codex/ux-site-refinement-wave","","2026-04-27","refine suite ux and marketing flow"
"codex/ux72-landing-temp","origin/main","[behind 205]","2026-04-27","refine suite ux and marketing flow"
"codex/vp5-issue-30-cleanup-split","origin/codex/vp5-issue-30-cleanup-split","","2026-04-26","docs: split issue 30 commercial cleanup"
"content-machine/effectief-coaching-begint-bij-luisteren-waarom-leidinggevenden-beter-zwijgen-2026-05-08","origin/content-machine/effectief-coaching-begint-bij-luisteren-waarom-leidinggevenden-beter-zwijgen-2026-05-08","","2026-05-08","feat: publish insight effectief-coaching-begint-bij-luisteren-waarom-leidinggevenden-beter-zwijgen"
"content-machine/effectief-luisteren-als-sleutel-tot-beter-leiderschap-2026-05-08","origin/content-machine/effectief-luisteren-als-sleutel-tot-beter-leiderschap-2026-05-08","","2026-05-08","feat: publish insight effectief-luisteren-als-sleutel-tot-beter-leiderschap"
"content-machine/effectiever-coachen-door-vooral-te-luisteren-2026-05-08","origin/content-machine/effectiever-coachen-door-vooral-te-luisteren-2026-05-08","[ahead 2]","2026-05-08","fix: restore publish worktree branch after imports"
"content-machine/exitgesprekken-op-waarde-schatten-wat-leert-data-ons-2026-05-08","origin/content-machine/exitgesprekken-op-waarde-schatten-wat-leert-data-ons-2026-05-08","","2026-05-08","feat: publish insight exitgesprekken-op-waarde-schatten-wat-leert-data-ons"
"content-machine/luisteren-als-leiderschap-zo-verbeter-je-coaching-en-medewerkerbehoud-2026-05-08","origin/content-machine/luisteren-als-leiderschap-zo-verbeter-je-coaching-en-medewerkerbehoud-2026-05-08","","2026-05-08","feat: publish insight luisteren-als-leiderschap-zo-verbeter-je-coaching-en-medewerkerbehoud"
"content-machine/luisteren-als-leidraad-voor-effectievere-leidinggevende-gesprekken-2026-05-07","origin/content-machine/luisteren-als-leidraad-voor-effectievere-leidinggevende-gesprekken-2026-05-07","","2026-05-07","feat: publish insight luisteren-als-leidraad-voor-effectievere-leidinggevende-gesprekken"
"dashboard-frame-pass-live","origin/main","[behind 141]","2026-04-30","Merge origin/main: resolve conflicts, keep spec-driven overview changes"
"dashboard-overview-reconstruct-step-1","origin/dashboard-overview-reconstruct-step-1","[ahead 7]","2026-04-29","feat: add action center decision-first detail view"
"dashboard-redesign","origin/dashboard-redesign","[ahead 1]","2026-05-03","fix(marketing): remove Combinatie, Segment Deep Dive, and bounded follow-on pages"
"feat/action-center-managers-mainline","origin/feat/action-center-managers-mainline","","2026-05-04","feat: add bounded action center managers page"
"feat/action-center-managers-page","origin/feat/action-center-managers-page","","2026-05-04","feat: add bounded action center review moments page"
"feat/action-center-managers-scope","origin/feat/action-center-managers-scope","","2026-05-04","feat: add bounded action center managers page"
"feat/action-center-overview-page","origin/feat/action-center-overview-page","","2026-05-04","feat: bound action center overview cockpit"
"feat/action-center-reviewmomenten-mainline","origin/feat/action-center-reviewmomenten-mainline","","2026-05-04","feat: add bounded action center review moments page"
"feat/action-center-reviewmomenten-page","origin/feat/action-center-reviewmomenten-page","","2026-05-04","feat: add bounded action center review moments page"
"feat/action-center-teams-page","origin/feat/action-center-teams-page","","2026-05-04","feat: add action center teams scope view"
"feat/dashboard-overview-cockpit","origin/feat/dashboard-overview-cockpit","[ahead 1]","2026-05-10","Refine dashboard filters and add local QA login"
"feat/dashboard-redesign-v2","origin/feat/dashboard-redesign-v2","","2026-04-27","refactor(dashboard): structural corrections ? shell, overview, Action Center"
"feat/deploy-debug-main","origin/feat/deploy-debug-main","","2026-05-06","fix: keep routebeheer bridge visible for admins"
"feat/editorial-insights-ui","origin/feat/editorial-insights-ui","","2026-05-10","feat: apply editorial insights ui system"
"feat/home-hero-preview-premium","","","2026-04-28","Unify marketing page CTAs and homepage reveals"
"feat/hr-cockpit-structure","origin/feat/hr-cockpit-structure","","2026-05-14","feat: simplify hr cockpit into action index"
"feat/hr-reports-structure","origin/feat/hr-reports-structure","","2026-05-14","feat: turn reports into hr download index"
"feat/hr-results-structure","origin/feat/hr-results-structure","","2026-05-14","fix: restore results guards and bridge continuity"
"feat/hr-routebeheer-structure","origin/main","[ahead 5, behind 9]","2026-05-13","feat: tighten hr routebeheer copy and action links"
"feat/hr-routebeheer-structure-clean","origin/feat/hr-routebeheer-structure-clean","","2026-05-14","feat: tighten hr routebeheer copy and action links"
"feat/routebeheer-admin-bridge","origin/feat/routebeheer-admin-bridge","","2026-05-06","fix: keep routebeheer bridge visible for admins"
"feat/verisight-blog-content-machine","origin/feat/verisight-blog-content-machine","","2026-05-06","feat: add Verisight insights blog pipeline"
"fix/blog-pr-permission-errors","origin/fix/blog-pr-permission-errors","","2026-05-07","fix: clarify blog publish pr permission errors"
"fix/blog-public-live","origin/fix/blog-public-live","[ahead 1]","2026-05-08","Align insights index with marketing family"
"hotfix/dashboard-routebeheer-entry","origin/hotfix/dashboard-routebeheer-entry","","2026-05-14","fix: route dashboard setup entries to routebeheer"
"hotfix/hr-routebeheer-self-serve","origin/main","","2026-05-14","Restructure HR cockpit into a single action-oriented scan index (#137)"
"hotfix/reveal-children-optional","origin/hotfix/reveal-children-optional","","2026-05-08","fix: unblock homepage and insights production build"
"hotfix/routebeheer-admin-card","origin/hotfix/routebeheer-admin-card","","2026-05-09","fix: route admin setup cards to campaign routebeheer"
"main","origin/main","[behind 37]","2026-05-08","fix: emit publish result metadata"
"pr-75-review","","","2026-04-27","docs: sharpen commercial portfolio truth and report policy"
"publish/blog-base","origin/main","[behind 40]","2026-05-07","fix: keep insights blog public (#124)"
"release-dashboard-overview-framing-cleanup","origin/main","[behind 147]","2026-04-29","Remove redundant dashboard overview framing"
"release-dashboard-overview-v2","origin/main","[behind 149]","2026-04-29","Tighten dashboard overview v2 reduction pass"
"release-dashboard-polish-main","origin/main","[behind 137]","2026-04-30","Implement dashboard management-read pass"
"release-shell-navigation-buildfix","origin/main","[behind 145]","2026-04-30","Fix dashboard shell navigation flatMap typing"
"spec/hr-cockpit-structure","origin/main","[ahead 3, behind 3]","2026-05-14","docs: add hr cockpit structure plan"
"spec/hr-reports-structure","origin/main","[ahead 3, behind 4]","2026-05-14","docs: add hr reports structure plan"
"spec/hr-results-structure","origin/main","[ahead 4, behind 8]","2026-05-14","docs: mark hr results plan complete"
"spec/hr-routebeheer-structure","origin/spec/hr-routebeheer-structure","[ahead 8]","2026-05-15","fix(action-center): tighten review rhythm auth"
"temp-demo-backup","","","2026-04-30","feat(marketing): voeg HomeInsightActionDemo toe aan homepage"
"wip-dashboard-category-nav","origin/main","[behind 140]","2026-04-30","Make dashboard product nav open category overviews"
"wip-dashboard-overview-simplify","origin/main","[ahead 1, behind 139]","2026-04-30","Implement dashboard management-read pass"
"wip/pebl-homepage-rebuild","","","2026-05-01","Refresh homepage hero commercial copy"
